********************************************************************************************
 OpeNER crosslingual sentiment lexicon : crosslingual scales grouped in aspect groups 
 Owner OpeNER and VU-UniversityAmsterdam (CLTL)
 de(german) nl(dutch) fr(french) it(italian) es(spanish) en(english)
********************************************************************************************


language;entry;sentiment;aspectCategory;clsId
de;altmodisch;negative;BEHAVIOUR;1
fr;démodé;negative;BEHAVIOUR;1
fr;vieillot;negative;BEHAVIOUR;1
nl;ouderwetse;negative;BEHAVIOUR;1
de;inkompetent;negative;BEHAVIOUR;2
es;incompetente;negative;BEHAVIOUR;2
fr;incompétent;negative;BEHAVIOUR;2
it;incompetente;negative;BEHAVIOUR;2
de;nach unangenehm Diskussion;negative;BEHAVIOUR;3
de;nicht ganz so charmant;negative;BEHAVIOUR;4
de;nicht sehr ansprechend;negative;BEHAVIOUR;5
de;nicht wirklich angenehm;negative;BEHAVIOUR;6
de;nur in Lobbybereich;negative;BEHAVIOUR;7
de;sehr langsam;negative;BEHAVIOUR;8
en;very slow;strongnegative;BEHAVIOUR;8
es;muy lento;strongnegative;BEHAVIOUR;8
de;sein eher unfreundlich gestalten;negative;BEHAVIOUR;9
de;sprechen kaum Englisch;negative;BEHAVIOUR;10
de;unfreundlich;negative;BEHAVIOUR;11
en;unfriendly;negative;BEHAVIOUR;11
fr;très peu aimable;strongnegative;BEHAVIOUR;11
nl;niet bepaald vriendelijk;negative;BEHAVIOUR;11
nl;alles behalve vriendelijk;strongnegative;BEHAVIOUR;11
en;not friendly at all;strongnegative;BEHAVIOUR;11
fr;pas aimable;negative;BEHAVIOUR;11
nl;niet vriendelijk;negative;BEHAVIOUR;11
de;wenige Leistung;negative;BEHAVIOUR;12
de;sehr unkompetent;strongnegative;BEHAVIOUR;13
en;not always efficient;negative;BEHAVIOUR;14
en;not pleasant;negative;BEHAVIOUR;15
nl;niet prettig;negative;BEHAVIOUR;15
nl;niet aangenaam;strongnegative;BEHAVIOUR;15
en;not the nicest;negative;BEHAVIOUR;16
en;quite slow;negative;BEHAVIOUR;17
nl;langzaam;negative;BEHAVIOUR;17
en;rude;negative;BEHAVIOUR;18
es;grosero;negative;BEHAVIOUR;18
en;kinda rude;negative;BEHAVIOUR;18
en;should pay more attention;negative;BEHAVIOUR;19
en;extremely rude;strongnegative;BEHAVIOUR;20
en;extremely unpleasant;strongnegative;BEHAVIOUR;21
en;hysterical !!!;strongnegative;BEHAVIOUR;22
es;no disponen;negative;BEHAVIOUR;23
es;no disponía de;negative;BEHAVIOUR;23
nl;niet beschikbaar;negative;BEHAVIOUR;23
es;poco atentos;negative;BEHAVIOUR;24
es;maleducado;negative;BEHAVIOUR;24
es;un tanto maleducado;negative;BEHAVIOUR;24
es;caótica;strongnegative;BEHAVIOUR;25
es;muy poco servicial;strongnegative;BEHAVIOUR;26
fr;difficile de comprendre;negative;BEHAVIOUR;27
fr;n' être pas souriant;negative;BEHAVIOUR;28
fr;ne parle pas anglais;negative;BEHAVIOUR;29
nl;een paar woordjes engels;negative;BEHAVIOUR;29
fr;ne parle qu' anglais;negative;BEHAVIOUR;30
fr;parler anglais seulement;negative;BEHAVIOUR;30
fr;parle peu francais;negative;BEHAVIOUR;31
fr;particulièrement désagréable;negative;BEHAVIOUR;32
fr;pas acceuillant;negative;BEHAVIOUR;33
fr;pas professionnel du tout;negative;BEHAVIOUR;34
fr;brille par son incompétence;strongnegative;BEHAVIOUR;35
fr;même plutôt désagréable;strongnegative;BEHAVIOUR;36
fr;pas toujours agréable;strongnegative;BEHAVIOUR;37
it;non efficiente;negative;BEHAVIOUR;38
it;non essere molto cortese;negative;BEHAVIOUR;39
it;non essere molto gradevole;negative;BEHAVIOUR;40
it;non essere piu' disponibile;negative;BEHAVIOUR;41
it;non parla italiano;negative;BEHAVIOUR;42
it;non professionale;negative;BEHAVIOUR;43
de;untrainiert;negative;BEHAVIOUR;43
nl;maar niet erg professioneel;negative;BEHAVIOUR;43
it;poco professionale;negative;BEHAVIOUR;44
it;scorbutico;negative;BEHAVIOUR;45
it;assolutamente scortese;strongnegative;BEHAVIOUR;46
nl;onbeleefd !!;strongnegative;BEHAVIOUR;46
it;per niente disponibile;strongnegative;BEHAVIOUR;47
nl;chagerijnig;negative;BEHAVIOUR;48
nl;chagrijnig;negative;BEHAVIOUR;48
nl;niet behulpzaam;negative;BEHAVIOUR;49
nl;niet echt kindvriendelijk;negative;BEHAVIOUR;50
nl;nogal opdringerig;negative;BEHAVIOUR;51
nl;onervaren;negative;BEHAVIOUR;52
nl;sprak amper engels;negative;BEHAVIOUR;53
nl;spreekt slecht engels;negative;BEHAVIOUR;54
nl;zo onvriendelijk;negative;BEHAVIOUR;55
nl;afsnauwen;strongnegative;BEHAVIOUR;56
nl;agressief;strongnegative;BEHAVIOUR;57
de;angemessen;positive;BEHAVIOUR;58
es;adecuado;positive;BEHAVIOUR;58
de;aufmerksam;positive;BEHAVIOUR;59
en;attentive;positive;BEHAVIOUR;59
es;atento;positive;BEHAVIOUR;59
