"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"schleppende#i-negative";"1";"1";"1";"schleppend";"G";"schleppende#1"
"grundfalsch#i-strongnegative";"1";"1";"1";"grundfalsch";"G";"grundfalsch#1"
"unverträglich#i-strongnegative";"1";"1";"1";"unverträglich";"G";"unverträglich#1"
"tiefergehend#i-positive";"1";"1";"1";"tiefergehend";"G";"tiefergehend#1"
"entschädigung#d-positive";"1";"1";"1";"Entschädigung";"N";"entschädigung#1"
"hastigen#i-negative";"1";"1";"1";"hastig";"G";"hastigen#1"
"überzeugender#i-positive";"1";"1";"1";"überzeugend";"G";"überzeugender#1"
"verbat#d-strongnegative";"1";"1";"1";"verbitten";"V";"verbat#1"
"lobten#d-positive";"1";"1";"1";"loben";"V";"lobten#1"
"empören#d-negative";"1";"1";"1";"empören";"V";"empören#1"
"gesunde#i-positive";"1";"1";"1";"gesund";"G";"gesunde#1"
"schamlose#i-negative";"1";"1";"1";"schamlos";"G";"schamlose#1"
"will#d-positive";"0";"19";"440";"wollen";"V";"will#440"
"wollen#d-positive";"0";"8";"253";"wollen";"V";"wollen#253"
"kritisierte#d-negative";"0";"8";"72";"kritisieren";"V";"kritisierte#72"
"sagte#d-neutral";"0";"7";"1255";"sagen";"V";"sagte#1255"
"kritisiert#d-negative";"0";"6";"60";"kritisieren";"V";"kritisiert#60"
"wollten#d-positive";"0";"5";"32";"wollen";"V";"wollten#32"
"warnte#d-negative";"0";"4";"87";"warnen";"V";"warnte#87"
"stabilen#i-positive";"0";"3";"21";"stabil";"G";"stabilen#21"
"erklärte#d-neutral";"0";"3";"141";"erklären";"V";"erklärte#141"
"wolle#d-positive";"0";"3";"118";"wollen";"V";"wolle#118"
"verlangt#d-positive";"0";"3";"28";"verlangen";"V";"verlangt#28"
"brauchen#d-positive";"0";"3";"52";"brauchen";"V";"brauchen#52"
"forderte#d-positive";"0";"3";"132";"fordern";"V";"forderte#132"
"zufrieden#d-positive";"0";"2";"23";"zufrieden";"G";"zufrieden#23"
"gegen#i-negative";"0";"2";"576";"gegen";"P";"gegen#576"
"wichtig#i-positive";"0";"2";"71";"wichtig";"G";"wichtig#71"
"lobte#d-positive";"0";"2";"15";"loben";"V";"lobte#15"
"warnt#d-negative";"0";"2";"19";"warnen";"V";"warnt#19"
"einschränken#d-negative";"0";"2";"3";"einschränken";"V";"einschränken#3"
"unterstützt#d-positive";"0";"2";"15";"unterstützen";"V";"unterstützt#15"
"rücktritt#i-negative";"0";"2";"25";"Rücktritt";"N";"rücktritt#25"
"guter#i-positive";"0";"2";"14";"gut";"G";"guter#14"
"forderten#d-positive";"0";"2";"14";"fordern";"V";"forderten#14"
"erwartet#d-neutral";"0";"2";"72";"erwarten";"V";"erwartet#72"
"starke#i-positive";"0";"2";"28";"stark";"G";"starke#28"
"gut#i-positive";"0";"2";"152";"gut";"G";"gut#152"
"beizulegen#i-positive";"0";"1";"2";"beilegen";"V";"beizulegen#2"
"dagegen#i-negative";"0";"1";"82";"dagegen";"Q";"dagegen#82"
"demonstrierte#d-neutral";"0";"1";"5";"demonstriert";"G";"demonstrierte#5"
"abhöraffäre#d-negative";"0";"1";"14";"Abhöraffäre";"N";"abhöraffäre#14"
"unterstrich#d-positive";"0";"1";"9";"unterstreichen";"V";"unterstrich#9"
"fordern#d-positive";"0";"1";"35";"fordern";"V";"fordern#35"
"helfen#i-positive";"0";"1";"28";"helfen";"V";"helfen#28"
"übergriffe#d-negative";"0";"1";"2";"Übergriff";"N";"übergriffe#2"
"schweren#i-negative";"0";"1";"14";"schwer";"G";"schweren#14"
"einsparungen#i-negative";"0";"1";"7";"Einsparung";"N";"einsparungen#7"
"falsch#i-negative";"0";"1";"20";"falsch";"G";"falsch#20"
"keine#i-negative";"0";"1";"353";"keine";"Q";"keine#353"
"abschluss#d-negative";"0";"1";"34";"Abschluss";"N";"abschluss#34"
"affäre#d-negative";"0";"1";"54";"Affäre";"N";"affäre#54"
"verschärfen#d-negative";"0";"1";"10";"verschärfen";"V";"verschärfen#10"
"reduzieren#d-negative";"0";"1";"8";"reduzieren";"V";"reduzieren#8"
"mitschuld#i-negative";"0";"1";"8";"Mitschuld";"N";"mitschuld#8"
"glaubt#d-neutral";"0";"1";"18";"glauben";"V";"glaubt#18"
"führungsrolle#i-positive";"0";"1";"2";"Führungsrolle";"N";"führungsrolle#2"
"verluste#d-negative";"0";"1";"7";"Verlust";"N";"verluste#7"
"schwierige#i-negative";"0";"1";"8";"schwierig";"G";"schwierige#8"
