"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"lügen#unknown";"1";"1";"1";"Lüge|Lügen";"N";"lügen#1"
"abrüsten#unknown";"1";"1";"1";"abrüsten";"V";"abrüsten#1"
"jobvernichtung#unknown";"1";"1";"1";"Jobvernichtung";"O";"jobvernichtung#1"
"menschenverstand#unknown";"1";"1";"1";"Menschenverstand";"N";"menschenverstand#1"
"effekte#unknown";"1";"1";"1";"Effekt";"N";"effekte#1"
"dankten#unknown";"1";"1";"1";"danken";"V";"dankten#1"
"homosexuelle#unknown";"1";"1";"1";"Homosexuelle";"N";"homosexuelle#1"
"russenhomophobie#unknown";"1";"1";"1";"Russenhomophobie";"O";"russenhomophobie#1"
"budgeteinigung#unknown";"1";"1";"1";"Budgeteinigung";"O";"budgeteinigung#1"
"gelassenheit#unknown";"1";"1";"1";"Gelassenheit";"N";"gelassenheit#1"
"klimaschutzrichtlinien#unknown";"1";"1";"1";"Klimaschutzrichtlinien";"O";"klimaschutzrichtlinien#1"
"das#unknown";"0";"6";"2551";"die";"Q";"das#2558"
"deutschland#unknown";"0";"4";"695";"Deutschland";"R";"deutschland#695"
"es#unknown";"0";"4";"1688";"es";"Q";"es#1688"
"erholungskurs#unknown";"0";"3";"16";"Erholungskurs";"N";"erholungskurs#16"
"reformen#unknown";"0";"3";"79";"Reform";"N";"reformen#79"
"gespräche#unknown";"0";"3";"114";"Gespräch";"N";"gespräche#114"
"europa#unknown";"0";"3";"652";"Europa";"R";"europa#652"
"sie#unknown";"0";"2";"1299";"Sie|sie";"Q";"sie#1299"
"davor#unknown";"0";"2";"37";"davor";"Q";"davor#37"
"eu#unknown";"0";"2";"1747";"EU";"R";"eu#1747"
"atmosphäre#unknown";"0";"2";"15";"Atmosphäre";"N";"atmosphäre#15"
"jugendarbeitslosigkeit#unknown";"0";"2";"109";"Jugendarbeitslosigkeit";"N";"jugendarbeitslosigkeit#109"
"ihm#unknown";"0";"2";"87";"er";"Q";"ihm#87"
"schlussfolgerungen#unknown";"0";"1";"4";"Schlussfolgerung";"N";"schlussfolgerungen#4"
"regierung#unknown";"0";"1";"377";"Regierung";"N";"regierung#377"
"china#unknown";"0";"1";"100";"China";"R";"china#100"
"stimmung#unknown";"0";"1";"13";"Stimmung";"N";"stimmung#13"
"indonesien#unknown";"0";"1";"15";"Indonesien";"R";"indonesien#15"
"beide#unknown";"0";"1";"62";"beide";"Q";"beide#62"
"gewalt#unknown";"0";"1";"24";"Gewalt";"N";"gewalt#24"
"geld#unknown";"0";"1";"122";"Geld";"N";"geld#122"
"hollande#unknown";"0";"1";"170";"Hollande";"O";"hollande#170"
"konkurrenz#unknown";"0";"1";"12";"Konkurrenz";"N";"konkurrenz#12"
"tempo#unknown";"0";"1";"12";"Tempo";"N";"tempo#12"
"koalitionsverhandlungen#unknown";"0";"1";"67";"Koalitionsverhandlung";"N";"koalitionsverhandlungen#67"
"verschwörung#unknown";"0";"1";"2";"Verschwörung";"N";"verschwörung#2"
"janukowitsch#unknown";"0";"1";"77";"Janukowitsch";"O";"janukowitsch#77"
"reagiert#unknown";"0";"1";"15";"reagieren";"V";"reagiert#15"
"gesprächsklima#unknown";"0";"1";"2";"Gesprächsklima";"N";"gesprächsklima#2"
"zustimmung#unknown";"0";"1";"39";"Zustimmung";"N";"zustimmung#39"
"missbilligt#unknown";"0";"1";"2";"missbilligen";"V";"missbilligt#2"
