"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"homelessness#unknown";"1";"1";"1";"homelessness";"N";"homelessness#1"
"proportions#unknown";"1";"1";"1";"proportion";"N";"proportions#1"
"mauritanians#unknown";"1";"1";"1";"Mauritanians";"R";"mauritanians#1"
"wiretapping#unknown";"1";"1";"1";"wiretapping";"V";"wiretapping#1"
"beauty#unknown";"1";"1";"1";"beauty";"N";"beauty#1"
"it#unknown";"0";"17";"2302";"it";"Q";"it#2302"
"this#unknown";"0";"8";"1212";"this";"D";"this#1212"
"that#unknown";"0";"6";"4144";"that";"D";"that#4149"
"he#unknown";"0";"4";"2238";"he";"Q";"he#2238"
"which#unknown";"0";"3";"850";"which";"O";"which#850"
"britain#unknown";"0";"3";"653";"Britain";"R";"britain#653"
"merkel#unknown";"0";"2";"917";"Merkel";"R";"merkel#917"
"banks#unknown";"0";"2";"234";"bank";"N";"banks#234"
"many#unknown";"0";"2";"290";"many";"G";"many#291"
"process#unknown";"0";"2";"63";"process";"N";"process#63"
"europe#unknown";"0";"2";"879";"Europe";"R";"europe#879"
"country#unknown";"0";"2";"536";"country";"N";"country#536"
"situation#unknown";"0";"2";"101";"situation";"N";"situation#101"
"man#unknown";"0";"2";"81";"man";"N";"man#81"
"reacted#unknown";"0";"2";"15";"react";"V";"reacted#15"
"victory#unknown";"0";"2";"99";"victory";"N";"victory#99"
"day#unknown";"0";"2";"233";"day";"N";"day#233"
"snowden#unknown";"0";"2";"104";"snowden";"R";"snowden#104"
"her#unknown";"0";"2";"523";"her";"Q";"her#523"
"news#unknown";"0";"1";"337";"news";"N";"news#337"
"reagan#unknown";"0";"1";"14";"Reagan";"R";"reagan#14"
"circumstances#unknown";"0";"1";"8";"circumstance";"N";"circumstances#8"
"afford#unknown";"0";"1";"15";"afford";"N";"afford#15"
"continue#unknown";"0";"1";"117";"continue";"V";"continue#117"
"france#unknown";"0";"1";"402";"France";"R";"france#402"
"history#unknown";"0";"1";"73";"history";"N";"history#73"
"schumacher#unknown";"0";"1";"15";"Schumacher";"R";"schumacher#15"
"him#unknown";"0";"1";"194";"him";"Q";"him#194"
"attempts#unknown";"0";"1";"22";"attempt";"N";"attempts#22"
"result#unknown";"0";"1";"99";"result";"N";"result#99"
"influence#unknown";"0";"1";"34";"influence";"N";"influence#34"
"work#unknown";"0";"1";"171";"work";"N";"work#171"
"judgement#unknown";"0";"1";"4";"judgement";"N";"judgement#4"
"region#unknown";"0";"1";"76";"region";"N";"region#76"
"prices#unknown";"0";"1";"37";"price";"N";"prices#37"
"they#unknown";"0";"1";"918";"they";"Q";"they#918"
"discussed#unknown";"0";"1";"37";"discuss";"V";"discussed#37"
"topic#unknown";"0";"1";"6";"topic";"N";"topic#6"
"troops#unknown";"0";"1";"67";"troop";"N";"troops#67"
"economic#unknown";"0";"1";"364";"economic";"G";"economic#364"
"jobs#unknown";"0";"1";"90";"job";"N";"jobs#90"
"go-kart#unknown";"0";"1";"2";"go-kart";"N";"go-kart#2"
"algerians#unknown";"0";"1";"9";"Algerians";"R";"algerians#9"
"assad#unknown";"0";"1";"147";"assad";"V";"assad#147"
"others#unknown";"0";"1";"86";"other";"N";"others#86"
"spying#unknown";"0";"1";"122";"spy";"V";"spying#122"
"designs#unknown";"0";"1";"2";"design";"N";"designs#2"
"direction#unknown";"0";"1";"30";"direction";"N";"direction#30"
"solution#unknown";"0";"1";"62";"solution";"N";"solution#62"
"partnership#unknown";"0";"1";"27";"partnership";"N";"partnership#27"
"i#unknown";"0";"1";"741";"i";"Q";"i#741"
"findus#unknown";"0";"1";"18";"Findus";"R";"findus#18"
"changes#unknown";"0";"1";"49";"change";"N";"changes#49"
"energy#unknown";"0";"1";"77";"energy";"N";"energy#77"
"police#unknown";"0";"1";"148";"police";"N";"police#148"
"mechanism#unknown";"0";"1";"42";"mechanism";"N";"mechanism#42"
"himself#unknown";"0";"1";"50";"himself";"Q";"himself#50"
"clarity#unknown";"0";"1";"9";"clarity";"N";"clarity#9"
"promise#unknown";"0";"1";"38";"promise";"N";"promise#38"
"behaviour#unknown";"0";"1";"15";"behaviour";"N";"behaviour#15"
"blood#unknown";"0";"1";"14";"blood";"N";"blood#14"
"president#unknown";"0";"1";"738";"president";"N";"president#738"
"intervention#unknown";"0";"1";"41";"intervention";"N";"intervention#41"
"burkinis#unknown";"0";"1";"2";"burkinis";"N";"burkinis#2"
"assessed#unknown";"0";"1";"4";"assess";"V";"assessed#4"
"politician#unknown";"0";"1";"24";"politician";"N";"politician#24"
"germany#unknown";"0";"1";"842";"Germany";"R";"germany#842"
"transparency#unknown";"0";"1";"21";"transparency";"N";"transparency#21"
"putin#unknown";"0";"1";"104";"Putin";"R";"putin#104"
"support#unknown";"0";"1";"324";"support";"N";"support#324"
"stability#unknown";"0";"1";"75";"stability";"N";"stability#75"
"celebrated#unknown";"0";"1";"4";"celebrate";"V";"celebrated#4"
"scenario#unknown";"0";"1";"19";"scenario";"N";"scenario#19"
"she#unknown";"0";"1";"540";"she";"Q";"she#540"
"legacy#unknown";"0";"1";"14";"legacy";"N";"legacy#14"
"role#unknown";"0";"1";"92";"role";"N";"role#92"
"cooperating#unknown";"0";"1";"2";"cooperate";"V";"cooperating#2"
"cooperation#unknown";"0";"1";"60";"cooperation";"N";"cooperation#60"
"flexibility#unknown";"0";"1";"12";"flexibility";"N";"flexibility#12"
"american#unknown";"0";"1";"63";"american";"G";"american#63"
"high#unknown";"0";"1";"129";"high";"G";"high#129"
"cameron#unknown";"0";"1";"975";"Cameron";"R";"cameron#975"
"economy#unknown";"0";"1";"284";"economy";"N";"economy#284"
"expectations#unknown";"0";"1";"23";"expectation";"N";"expectations#23"
"immigration#unknown";"0";"1";"53";"immigration";"N";"immigration#53"
"iran#unknown";"0";"1";"179";"Iran";"R";"iran#179"
"markets#unknown";"0";"1";"130";"market";"N";"markets#130"
"time#unknown";"0";"1";"357";"Time";"R";"time#357"
"defence#unknown";"0";"1";"93";"defense";"N";"defence#93"
"spain#unknown";"0";"1";"239";"Spain";"R";"spain#239"
"kristallnacht#unknown";"0";"1";"5";"Kristallnacht";"R";"kristallnacht#5"
"mark#unknown";"0";"1";"56";"mark";"N";"mark#56"
"unacceptable#unknown";"0";"1";"36";"unacceptable";"G";"unacceptable#36"
"hunt#unknown";"0";"1";"62";"Hunt";"R";"hunt#62"
