"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"rengorgé#d-positive";"1";"1";"1";"rengorgé";"V";"rengorgé#1"
"disparaissent#d-strongpositive";"1";"1";"1";"disparaître";"V";"disparaissent#1"
"regret#d-negative";"1";"1";"1";"regret";"N";"regret#1"
"inexplicable#d-negative";"1";"1";"1";"inexplicable";"G";"inexplicable#1"
"échoue#d-negative";"1";"1";"1";"échouer";"V";"échoue#1"
"menacerait#d-strongnegative";"1";"1";"1";"menacer";"V";"menacerait#1"
"réjouir#d-strongpositive";"1";"1";"1";"réjouir";"V";"réjouir#1"
"insupportable#d-strongnegative";"1";"1";"1";"insupportable";"G";"insupportable#1"
"promeut#d-positive";"1";"1";"1";"promouvoir";"V";"promeut#1"
"désavouent#d-strongnegative";"1";"1";"1";"désavouer";"V";"désavouent#1"
"démesurés#d-negative";"1";"1";"1";"démesurés";"V";"démesurés#1"
"contredit#i-negative";"1";"1";"1";"contredire";"V";"contredit#1"
"ignore#d-strongnegative";"1";"1";"1";"ignorer";"V";"ignore#1"
"assure#d-positive";"0";"2";"22";"assurer";"V";"assure#22"
"promet#d-positive";"0";"2";"10";"promettre";"V";"promet#10"
"souhaite#d-positive";"0";"2";"26";"souhaiter";"V";"souhaite#26"
"regretté#d-negative";"0";"1";"6";"regretter";"V";"regretté#6"
"exclut#d-negative";"0";"1";"3";"exclure";"V";"exclut#3"
"essentielle#d-strongpositive";"0";"1";"5";"essentiel";"G";"essentielle#5"
"opposé#d-negative";"0";"1";"11";"opposer";"V";"opposé#11"
"europhile#d-strongpositive";"0";"1";"2";"europhile";"G";"europhile#2"
"jugé#i-negative";"0";"1";"42";"juger";"V";"jugé#42"
"assure#d-strongpositive";"0";"1";"22";"assurer";"V";"assure#22"
"indiqué#d-positive";"0";"1";"61";"indiquer";"V";"indiqué#61"
"optimistes#d-positive";"0";"1";"4";"optimiste";"G";"optimistes#4"
"condamnation#d-negative";"0";"1";"11";"condamnation";"N";"condamnation#11"
"déplore#d-strongnegative";"0";"1";"4";"déplorer";"V";"déplore#4"
"veut#i-positive";"0";"1";"93";"vouloir";"V";"veut#93"
"estime#d-negative";"0";"1";"37";"estimer";"V";"estime#37"
"critiqué#d-negative";"0";"1";"19";"critiquer";"V";"critiqué#19"
"indispensable#d-strongpositive";"0";"1";"20";"indispensable";"G";"indispensable#20"
"félicité#i-strongpositive";"0";"1";"9";"féliciter";"V";"félicité#9"
"indispensable#i-strongpositive";"0";"1";"20";"indispensable";"G";"indispensable#20"
"refusé#d-positive";"0";"1";"15";"refuser";"V";"refusé#15"
"croit#d-positive";"0";"1";"5";"croire";"V";"croit#5"
"apprécieront#d-positive";"0";"1";"2";"apprécier";"V";"apprécieront#2"
"confirmé#d-positive";"0";"1";"18";"confirmer";"V";"confirmé#18"
"commente#i-negative";"0";"1";"6";"commenter";"V";"commente#6"
"examiné#d-positive";"0";"1";"2";"examiner";"V";"examiné#2"
"opposerait#d-negative";"0";"1";"2";"opposer";"V";"opposerait#2"
"voulons#d-positive";"0";"1";"15";"vouloir";"V";"voulons#15"
"tente#d-positive";"0";"1";"5";"tenter";"V";"tente#5"
"exigent#d-positive";"0";"1";"4";"exiger";"V";"exigent#4"
"communiqué#d-positive";"0";"1";"30";"communiqué";"N";"communiqué#30"
"entend#d-positive";"0";"1";"5";"entendre";"V";"entend#5"
"irresponsable#i-strongnegative";"0";"1";"2";"irresponsable";"G";"irresponsable#2"
"accordé#d-positive";"0";"1";"4";"accorder";"V";"accordé#4"
"appelé#i-positive";"0";"1";"31";"appeler";"V";"appelé#31"
"reste#d-positive";"0";"1";"63";"rester";"V";"reste#63"
"imposant#d-negative";"0";"1";"2";"imposer";"V";"imposant#2"
"reconnu#i-negative";"0";"1";"25";"reconnaître";"V";"reconnu#25"
"gracié#d-positive";"0";"1";"2";"gracier";"V";"gracié#2"
"craint#d-negative";"0";"1";"10";"craindre";"V";"craint#10"
"perd#d-negative";"0";"1";"7";"perdre";"V";"perd#7"
"appelant#d-positive";"0";"1";"13";"appeler";"V";"appelant#13"
"triomphe#d-strongpositive";"0";"1";"25";"triomphe";"N";"triomphe#25"
