"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"temperde#d-negative";"1";"2";"2";"temperen";"V";"temperde#2"
"opvliegendheid#i-negative";"1";"1";"1";"opvliegendheid";"O";"opvliegendheid#1"
"oplegt#i-negative";"1";"1";"1";"opleggen";"V";"oplegt#1"
",perfect#i-strongpositive";"1";"1";"1";",perfect";"O";",perfect#1"
"flirt#d-positive";"1";"1";"1";"flirten";"V";"flirt#1"
"verdiende#i-positive";"1";"1";"1";"verdiend";"G";"verdiende#1"
"doelgerichter#i-positive";"1";"1";"1";"doelgericht";"G";"doelgerichter#1"
"aangegrepen#d-positive";"1";"1";"1";"aangrijpen";"V";"aangegrepen#1"
"nationalistisch#i-negative";"1";"1";"1";"nationalistisch";"G";"nationalistisch#1"
"regeringssamenwerking#i-positive";"1";"1";"1";"regeringssamenwerking";"O";"regeringssamenwerking#1"
"progressiever#i-positive";"1";"1";"1";"progressief";"G";"progressiever#1"
"stutten#d-positive";"1";"1";"1";"stut";"N";"stutten#1"
"verslechtering#i-negative";"1";"1";"1";"verslechtering";"N";"verslechtering#1"
"begrotingssoberheid#i-negative";"1";"1";"1";"begrotingssoberheid";"O";"begrotingssoberheid#1"
"aandrongen#d-positive";"1";"1";"1";"aandringen";"V";"aandrongen#1"
"overheidsschuld#i-negative";"1";"1";"1";"overheidsschuld";"O";"overheidsschuld#1"
"ongepast#i-negative";"1";"1";"1";"ongepast";"G";"ongepast#1"
"opheffing#d-negative";"1";"1";"1";"opheffing";"N";"opheffing#1"
"aanwakkeren#i-positive";"1";"1";"1";"aanwakkeren";"V";"aanwakkeren#1"
"verdrietig#i-negative";"1";"1";"1";"verdrietig";"G";"verdrietig#1"
"roemden#d-strongpositive";"1";"1";"1";"roemen";"V";"roemden#1"
"afgezaagd#i-negative";"1";"1";"1";"afzagen";"V";"afgezaagd#1"
"acceptabel#i-positive";"1";"1";"1";"acceptabel";"G";"acceptabel#1"
"gecompliceerde#i-negative";"1";"1";"1";"gecompliceerd";"G";"gecompliceerde#1"
"reactionair#i-negative";"1";"1";"1";"reactionair";"G";"reactionair#1"
"rechtvaardiger#i-positive";"1";"1";"1";"rechtvaardig";"G";"rechtvaardiger#1"
"intelligent#i-positive";"1";"1";"1";"intelligent";"G";"intelligent#1"
"eenduidige#i-negative";"1";"1";"1";"eenduidig";"G";"eenduidige#1"
"onontkoombaar#i-negative";"1";"1";"1";"onontkoombaar";"G";"onontkoombaar#1"
"gedesillusioneerd#d-negative";"1";"1";"1";"gedesillusioneerd";"G";"gedesillusioneerd#1"
"bitter#i-negative";"1";"1";"1";"bitter";"G";"bitter#1"
"wil#d-positive";"0";"27";"398";"willen";"V";"wil#398"
"willen#d-positive";"0";"12";"218";"willen";"V";"willen#218"
"zei#d-neutral";"0";"6";"428";"zeggen";"V";"zei#428"
"zegt#d-neutral";"0";"5";"129";"zeggen";"V";"zegt#129"
"vrezen#d-negative";"0";"4";"9";"vrezen";"V";"vrezen#9"
"waarschuwt#d-negative";"0";"4";"25";"waarschuwen";"V";"waarschuwt#25"
"vreest#d-negative";"0";"4";"16";"vrezen";"V";"vreest#16"
"meer#d-positive";"0";"3";"506";"meer";"A";"meer#506"
"groei#i-positive";"0";"3";"172";"groei";"N";"groei#172"
"steunt#d-positive";"0";"3";"12";"steunen";"V";"steunt#12"
"kritiek#d-negative";"0";"3";"52";"kritiek";"N";"kritiek#52"
"steunde#d-positive";"0";"3";"13";"steunen";"V";"steunde#13"
"stimuleren#d-positive";"0";"3";"31";"stimuleren";"V";"stimuleren#31"
"waarschuwde#d-negative";"0";"3";"32";"waarschuwen";"V";"waarschuwde#32"
"vindt#d-neutral";"0";"2";"108";"vinden";"V";"vindt#108"
"geen#i-negative";"0";"2";"347";"geen";"D";"geen#347"
"wilde#d-positive";"0";"2";"48";"willen";"V";"wilde#48"
"benadrukte#d-neutral";"0";"2";"48";"benadrukken";"V";"benadrukte#48"
"aldus#d-neutral";"0";"2";"186";"aldus";"A";"aldus#186"
"vriendschap#i-positive";"0";"2";"16";"vriendschap";"N";"vriendschap#16"
"constructief#i-positive";"0";"2";"11";"constructief";"G";"constructief#11"
"minder#i-negative";"0";"2";"91";"min";"G";"minder#91"
"meer#i-positive";"0";"2";"506";"meer";"A";"meer#506"
"omstreden#i-negative";"0";"2";"9";"omstreden";"G";"omstreden#9"
"betreurt#d-negative";"0";"2";"4";"betreuren";"V";"betreurt#4"
"prees#d-positive";"0";"2";"12";"prijzen";"V";"prees#12"
"tegen#d-negative";"0";"2";"278";"tegen";"P";"tegen#278"
"hulp#d-positive";"0";"2";"40";"hulp";"N";"hulp#40"
"accepteert#d-positive";"0";"2";"6";"accepteren";"V";"accepteert#6"
"tegenstander#i-negative";"0";"2";"10";"tegenstander";"N";"tegenstander#10"
"feliciteert#d-positive";"0";"2";"14";"feliciteren";"V";"feliciteert#14"
"blij#i-positive";"0";"2";"23";"blij";"G";"blij#23"
"stoppen#d-negative";"0";"2";"12";"stoppen";"V";"stoppen#12"
"verwerpen#d-negative";"0";"2";"8";"verwerpen";"V";"verwerpen#8"
"verlies#i-negative";"0";"2";"31";"verlies";"N";"verlies#31"
"vieren#d-positive";"0";"2";"10";"vier";"O";"vieren#10"
"slordige#i-negative";"0";"2";"3";"slordig";"G";"slordige#3"
"goede#i-positive";"0";"2";"75";"goed";"G";"goede#75"
"positief#i-positive";"0";"2";"15";"positief";"G";"positief#15"
"verklaarde#d-neutral";"0";"2";"34";"verklaren";"V";"verklaarde#34"
"liever#i-positive";"0";"2";"20";"lief";"G";"liever#20"
"vieren#d-strongpositive";"0";"2";"10";"vier";"O";"vieren#10"
"strengere#i-negative";"0";"2";"14";"streng";"G";"strengere#14"
"strenge#i-negative";"0";"2";"22";"streng";"G";"strenge#22"
"zwakkere#i-negative";"0";"1";"3";"zwak";"G";"zwakkere#3"
"dominante#i-positive";"0";"1";"3";"dominant";"G";"dominante#3"
"verweet#d-negative";"0";"1";"4";"verwijten";"V";"verweet#4"
"afluisteren#i-negative";"0";"1";"22";"afluisteren";"V";"afluisteren#22"
"onacceptabel#i-negative";"0";"1";"5";"onacceptabel";"G";"onacceptabel#5"
"akkoord#i-positive";"0";"1";"110";"akkoord";"N";"akkoord#110"
"terugdringen#i-negative";"0";"1";"7";"terugdringen";"N";"terugdringen#7"
"inspirerende#i-positive";"0";"1";"3";"inspireren";"V";"inspirerende#3"
"weggestemd#d-negative";"0";"1";"2";"wegstemmen";"V";"weggestemd#2"
"geïnspireerd#i-positive";"0";"1";"3";"inspireren";"V";"geïnspireerd#3"
"nieuwe#i-positive";"0";"1";"316";"nieuw";"G";"nieuwe#316"
"omlaag#i-negative";"0";"1";"10";"omlaag";"A";"omlaag#10"
"wil#d-neutral";"0";"1";"398";"willen";"V";"wil#398"
"nodig#i-negative";"0";"1";"124";"nodig";"G";"nodig#124"
"onruststoker#i-negative";"0";"1";"2";"onruststoker";"N";"onruststoker#2"
"flexibeler#i-positive";"0";"1";"8";"flexibel";"G";"flexibeler#8"
"behaalde#d-positive";"0";"1";"7";"behalen";"V";"behaalde#7"
"verzet#d-negative";"0";"1";"17";"verzet";"N";"verzet#17"
"beloven#d-positive";"0";"1";"8";"beloven";"N";"beloven#8"
"terugdringen#d-negative";"0";"1";"7";"terugdringen";"N";"terugdringen#7"
"stabiele#i-positive";"0";"1";"7";"stabiel";"G";"stabiele#7"
"meer#d-negative";"0";"1";"506";"meer";"A";"meer#506"
"essentieel#i-positive";"0";"1";"5";"essentieel";"G";"essentieel#5"
