"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"misbruiken#unknown";"1";"1";"1";"misbruiken";"V";"misbruiken#1"
"expansie#unknown";"1";"1";"1";"expansie";"N";"expansie#1"
"gesprek’#unknown";"1";"1";"1";"gesprek’";"N";"gesprek’#1"
"vastberadendheid#unknown";"1";"1";"1";"vastberadendheid";"O";"vastberadendheid#1"
"privégegevens#unknown";"1";"1";"1";"privégegevens";"O";"privégegevens#1"
"europa#unknown";"0";"15";"850";"Europa";"R";"europa#850"
"dat#unknown";"0";"8";"2373";"dat";"Q";"dat#2377"
"merkel#unknown";"0";"4";"1037";"Merkel";"O";"merkel#1037"
"rutte#unknown";"0";"4";"304";"Rutte";"O";"rutte#304"
"het#unknown";"0";"4";"3560";"het";"Q";"het#3561"
"eurobonds#unknown";"0";"3";"31";"eurobonds";"O";"eurobonds#31"
"ze#unknown";"0";"3";"496";"ze";"Q";"ze#496"
"instrument#unknown";"0";"3";"4";"instrument";"N";"instrument#4"
"griekenland#unknown";"0";"3";"305";"Griekenland";"R";"griekenland#305"
"economie#unknown";"0";"2";"142";"economie";"N";"economie#142"
"obama#unknown";"0";"2";"168";"Obama";"O";"obama#168"
"zuid-europeanen#unknown";"0";"2";"3";"Zuid-Europeanen";"O";"zuid-europeanen#3"
"eu#unknown";"0";"2";"349";"EU";"O";"eu#349"
"slaagkansen#unknown";"0";"2";"4";"slaagkansen";"O";"slaagkansen#4"
"bevoegdheden#unknown";"0";"2";"55";"bevoegdheid";"N";"bevoegdheden#55"
"die#unknown";"0";"2";"957";"die";"Q";"die#957"
"rol#unknown";"0";"2";"48";"rol";"N";"rol#48"
"gesprek#unknown";"0";"2";"47";"gesprek";"N";"gesprek#47"
"referendum#unknown";"0";"2";"134";"referendum";"N";"referendum#134"
"bezuinigingen#unknown";"0";"2";"63";"bezuiniging";"N";"bezuinigingen#63"
"cameron#unknown";"0";"2";"438";"Cameron";"O";"cameron#438"
"argumenten#unknown";"0";"2";"3";"argument";"N";"argumenten#3"
"besparingen#unknown";"0";"2";"27";"besparing";"N";"besparingen#27"
"top#unknown";"0";"2";"176";"top";"N";"top#176"
"martens#unknown";"0";"2";"48";"Martens";"O";"martens#48"
"hij#unknown";"0";"2";"812";"hij";"Q";"hij#812"
"favoriet#unknown";"0";"1";"3";"favoriet";"N";"favoriet#3"
"zwaarder#unknown";"0";"1";"4";"zwaar";"G";"zwaarder#4"
"begrotingscijfers#unknown";"0";"1";"3";"begrotingscijfers";"O";"begrotingscijfers#3"
"berlijn#unknown";"0";"1";"129";"Berlijn";"R";"berlijn#129"
"wij#unknown";"0";"1";"84";"wij";"Q";"wij#84"
"onafhankelijkheid#unknown";"0";"1";"12";"onafhankelijkheid";"N";"onafhankelijkheid#12"
"onderhandeling#unknown";"0";"1";"2";"onderhandeling";"N";"onderhandeling#2"
"overleg#unknown";"0";"1";"63";"overleg";"N";"overleg#63"
"maatregelen#unknown";"0";"1";"69";"maatregel";"N";"maatregelen#69"
"moskou#unknown";"0";"1";"19";"Moskou";"R";"moskou#19"
"animo#unknown";"0";"1";"2";"animo";"N";"animo#2"
"lidmaatschap#unknown";"0";"1";"58";"lidmaatschap";"N";"lidmaatschap#58"
"roemer#unknown";"0";"1";"10";"roemer";"N";"roemer#10"
"stappen#unknown";"0";"1";"33";"stap";"N";"stappen#33"
"inkomens#unknown";"0";"1";"6";"inkomen";"N";"inkomens#6"
"verhouding#unknown";"0";"1";"6";"verhouding";"N";"verhouding#6"
"controle#unknown";"0";"1";"14";"controle";"N";"controle#14"
"uitgeven#unknown";"0";"1";"15";"uitgeven";"V";"uitgeven#15"
"belgië#unknown";"0";"1";"42";"België";"R";"belgië#42"
"twijfelt#unknown";"0";"1";"2";"twijfelen";"V";"twijfelt#2"
"groot-brittannië#unknown";"0";"1";"141";"Groot-Brittannië";"R";"groot-brittannië#141"
"sarkozy#unknown";"0";"1";"98";"Sarkozy";"O";"sarkozy#98"
"toetreding#unknown";"0";"1";"10";"toetreding";"N";"toetreding#10"
"monti#unknown";"0";"1";"66";"Monti";"O";"monti#66"
"kranten#unknown";"0";"1";"8";"krant";"N";"kranten#8"
"zitting#unknown";"0";"1";"2";"zitting";"N";"zitting#2"
"schuldencrisis#unknown";"0";"1";"71";"schuldencrisis";"O";"schuldencrisis#71"
"sociaal-democraten#unknown";"0";"1";"4";"sociaal-democraat";"N";"sociaal-democraten#4"
"welvaart#unknown";"0";"1";"9";"welvaart";"N";"welvaart#9"
"hem#unknown";"0";"1";"143";"hem";"Q";"hem#143"
"fransen#unknown";"0";"1";"40";"Franse|Fransman";"N";"fransen#40"
"dit#unknown";"0";"1";"248";"dit";"Q";"dit#248"
"feest#unknown";"0";"1";"3";"feest";"N";"feest#3"
"snoeien#unknown";"0";"1";"10";"snoeien";"V";"snoeien#10"
"hiertegen#unknown";"0";"1";"2";"hiertegen";"Q";"hiertegen#2"
"eurofiel#unknown";"0";"1";"2";"eurofiel";"O";"eurofiel#2"
"euro-obligaties#unknown";"0";"1";"30";"euro-obligaties";"O";"euro-obligaties#30"
"belastingverlaging#unknown";"0";"1";"2";"belastingverlaging";"N";"belastingverlaging#2"
"oekraïne#unknown";"0";"1";"42";"Oekraïne";"R";"oekraïne#42"
"wat#unknown";"0";"1";"196";"wat";"Q";"wat#196"
"nettobetalers#unknown";"0";"1";"13";"nettobetalers";"O";"nettobetalers#13"
"beleid#unknown";"0";"1";"54";"beleid";"N";"beleid#54"
"linkspartei#unknown";"0";"1";"2";"Linkspartei";"O";"linkspartei#2"
"gevolgen#unknown";"0";"1";"24";"gevolg";"N";"gevolgen#24"
"landbouwgeld#unknown";"0";"1";"2";"landbouwgeld";"O";"landbouwgeld#2"
"italië#unknown";"0";"1";"68";"Italië";"R";"italië#68"
"uitlatingen#unknown";"0";"1";"5";"uitlating";"N";"uitlatingen#5"
"plan#unknown";"0";"1";"77";"plan";"N";"plan#77"
"partners#unknown";"0";"1";"13";"partner";"N";"partners#13"
"eurozone#unknown";"0";"1";"214";"eurozone";"O";"eurozone#214"
"publiceren#unknown";"0";"1";"3";"publiceren";"N";"publiceren#3"
